title,link,deadline
Capacity building in VET in Western Balkans,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-CB-VET-WB?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",27 February 2025
Partnerships for Cooperation - Cooperation Partnerships in the field of education and training submitted by European NGOs,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-PCOOP-ENGO?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 March 2025
Capacity building in VET in Caribbean,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-CB-VET-CA?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",27 February 2025
Capacity Building in the field of Youth in Neighborhood East,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-YOUTH-2025-CB-NE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 March 2025
Capacity Building in the field of Youth in South Mediterranean Countries,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-YOUTH-2025-CB-SMC?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 March 2025
Cooperation Partnerships in the field of Youth,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-YOUTH-2025-PCOOP-ENGO?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 March 2025
Centres of Vocational Excellence,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-PEX-COVE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",11 June 2025
European Film Distribution,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-FILMDIST?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",24 April 2025
Convocatoria de Propuestas México - 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/180938PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",31 January 2025
Support to Ukraine and Moldova border regions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERDFTA-2024-SUPPORTUMBR?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
Teaming for Excellence,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2025-ACCESS-01-01-two-stage?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",10 April 2025
Innovation Fund 2024 Net Zero Technologies – General decarbonisation – Medium-Scale Projects,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/INNOVFUND-2024-NZT-GENERAL-MSP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",24 April 2025
Innovation Fund 2024 Net Zero Technologies – General decarbonisation – Large-Scale Projects,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/INNOVFUND-2024-NZT-GENERAL-LSP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",24 April 2025
Innovation Fund 2024 Net Zero Technologies – Clean-tech manufacturing,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/INNOVFUND-2024-NZT-CLEAN-TECH-MANUFACTURING?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",24 April 2025
Innovation Fund 2024 - Batteries - Manufacturing of electric vehicles battery cells,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/INNOVFUND-2024-BATT-EV-CELLS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",24 April 2025
